file,title,author,licenses,source_page,size_bytes
bulk/magic-tales-set/Kim Lightyear - Magic Tales (Danger Zone Loop).wav,Magic Tales (Set),KLY,CC-BY 3.0,https://opengameart.org/content/magic-tales-set,25261484
bulk/decency/01._pastorale_hideuse_0.ogg,Decency,Spring Spring,CC-BY 3.0; CC-BY 4.0; CC-BY-SA 3.0; CC-BY-SA 4.0,https://opengameart.org/content/decency,8724413
bulk/decency/03._sun_and_sea_0.ogg,Decency,Spring Spring,CC-BY 3.0; CC-BY 4.0; CC-BY-SA 3.0; CC-BY-SA 4.0,https://opengameart.org/content/decency,8017424
bulk/magic-tales-set/Kim Lightyear - Magic Tales (Everything's Fine).wav,Magic Tales (Set),KLY,CC-BY 3.0,https://opengameart.org/content/magic-tales-set,26029742
bulk/decency/02._sandbags_0.ogg,Decency,Spring Spring,CC-BY 3.0; CC-BY 4.0; CC-BY-SA 3.0; CC-BY-SA 4.0,https://opengameart.org/content/decency,13744690
bulk/decency/04._were_uncrushable_0.ogg,Decency,Spring Spring,CC-BY 3.0; CC-BY 4.0; CC-BY-SA 3.0; CC-BY-SA 4.0,https://opengameart.org/content/decency,11609446
bulk/decency/05._observe_the_rituals_0.ogg,Decency,Spring Spring,CC-BY 3.0; CC-BY 4.0; CC-BY-SA 3.0; CC-BY-SA 4.0,https://opengameart.org/content/decency,14155451
bulk/decency/06._sunset_over_new_draguignan_0.ogg,Decency,Spring Spring,CC-BY 3.0; CC-BY 4.0; CC-BY-SA 3.0; CC-BY-SA 4.0,https://opengameart.org/content/decency,10895528
bulk/menu-selection-click/Menu Selection Click.wav,Menu Selection Click,NenadSimic,CC-BY 3.0,https://opengameart.org/content/menu-selection-click,60390
bulk/decency/09._the_lords_of_glass_0.ogg,Decency,Spring Spring,CC-BY 3.0; CC-BY 4.0; CC-BY-SA 3.0; CC-BY-SA 4.0,https://opengameart.org/content/decency,9633305
bulk/simple-serious-electro-loop/Simple Serious Electro Loop.ogg,Simple Serious Electro Loop,qubodup,CC-BY 3.0,https://opengameart.org/content/simple-serious-electro-loop,1078544
bulk/biolab-fight-theme/Biolab_Fight.ogg,Biolab Fight Theme,GTDStudio aka Palrom,OGA-BY 3.0,https://opengameart.org/content/biolab-fight-theme,6148668
bulk/chip-bit-danger/Chip Bit Danger.mp3,Chip Bit Danger,Sudocolon,CC0,https://opengameart.org/content/chip-bit-danger,2364809
bulk/decency/07._i_play_life_for_the_story_0.ogg,Decency,Spring Spring,CC-BY 3.0; CC-BY 4.0; CC-BY-SA 3.0; CC-BY-SA 4.0,https://opengameart.org/content/decency,21941015
bulk/fast-pulse/fast pulse_0.ogg,Fast Pulse,oglsdl,CC0,https://opengameart.org/content/fast-pulse,4711778
bulk/decency/08._duedele_0.ogg,Decency,Spring Spring,CC-BY 3.0; CC-BY 4.0; CC-BY-SA 3.0; CC-BY-SA 4.0,https://opengameart.org/content/decency,22219442
bulk/boss-battle-3-8-bit-re-upload/Boss Battle #3 V3.wav,Boss Battle #3 [8-bit re-upload],nene,CC0,https://opengameart.org/content/boss-battle-3-8-bit-re-upload,7257746
bulk/retroracing-menu-synthwave/Retroracing Menu_0.mp3,Retroracing Menu (Synthwave),Bogart VGM,CC-BY 4.0,https://opengameart.org/content/retroracing-menu-synthwave,2811492
bulk/jazz-flute/Jazz (flute)_0.mp3,Jazz (flute),Pro Sensory,CC0,https://opengameart.org/content/jazz-flute,1191939
bulk/sonar-tuning-electro-track/enchantmentinstumental_sonartuning.mp3,Sonar Tuning Electro Track,SouljahdeShiva,CC-BY 3.0,https://opengameart.org/content/sonar-tuning-electro-track,5676732
bulk/adventure-ho/AdventureHO2.mp3,Adventure HO!,Patrick Maney,CC-BY 3.0,https://opengameart.org/content/adventure-ho,1332585
bulk/battle-theme-0/Battle.mp3,Battle Theme,Wolfgang_,CC0; GPL,https://opengameart.org/content/battle-theme-0,4646747
bulk/the-ascent/the_ascent_version_a_0.mp3,The Ascent,Bogart VGM,CC-BY 3.0,https://opengameart.org/content/the-ascent,4444308
bulk/the-ascent/the_ascent_version_b.mp3,The Ascent,Bogart VGM,CC-BY 3.0,https://opengameart.org/content/the-ascent,5590620
